#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.62 aq:24.71 tex:189042 mv:35649 misc:69 imb:1200 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:29.62 aq:24.61 tex:29042 mv:2934 misc:1104 imb:12 pmb:484 smb:704 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:29.62 aq:25.54 tex:24116 mv:2532 misc:944 imb:18 pmb:406 smb:776 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:29.62 aq:26.31 tex:23753 mv:2698 misc:997 imb:8 pmb:432 smb:760 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:29.62 aq:26.97 tex:23577 mv:2479 misc:912 imb:4 pmb:389 smb:807 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:29.62 aq:27.78 tex:24119 mv:2575 misc:866 imb:6 pmb:399 smb:795 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:33.62 aq:29.83 tex:12131 mv:3019 misc:1050 imb:17 pmb:409 smb:774 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:37.62 aq:34.91 tex:4856 mv:1814 misc:778 imb:5 pmb:222 smb:973 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:36.34 aq:31.86 tex:11025 mv:3276 misc:1027 imb:99 pmb:320 smb:781 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:35.07 aq:32.14 tex:31533 mv:5031 misc:1092 imb:213 pmb:367 smb:620 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:34.08 aq:30.22 tex:42570 mv:4517 misc:1113 imb:96 pmb:501 smb:603 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:33.31 aq:29.28 tex:51363 mv:4843 misc:1114 imb:153 pmb:497 smb:550 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:32.60 aq:28.29 tex:26228 mv:3860 misc:1224 imb:24 pmb:558 smb:618 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:31.84 aq:27.18 tex:29519 mv:3758 misc:1179 imb:23 pmb:572 smb:605 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:31.45 aq:27.27 tex:24075 mv:3293 misc:1112 imb:21 pmb:473 smb:706 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:31.80 aq:29.01 tex:20237 mv:3445 misc:974 imb:12 pmb:457 smb:731 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:32.24 aq:29.78 tex:19219 mv:3321 misc:964 imb:17 pmb:437 smb:746 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:32.73 aq:30.75 tex:15926 mv:2607 misc:899 imb:8 pmb:361 smb:831 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:32.57 aq:28.83 tex:20288 mv:3500 misc:1108 imb:15 pmb:474 smb:711 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:32.44 aq:27.93 tex:20412 mv:3373 misc:1119 imb:23 pmb:469 smb:708 d:- ref:0 ;
