#options: 640x480 fps=2997/100 timebase=100/2997 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=2 keyint=90 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1200 ratetol=1.0 qcomp=0.60 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:29.62 aq:25.83 tex:386694 mv:50783 misc:67 imb:1200 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:29.62 aq:26.00 tex:46866 mv:3693 misc:1257 imb:7 pmb:725 smb:468 d:- ref:0 ;
in:2 out:2 type:P dur:2 cpbdur:2 q:29.62 aq:26.51 tex:50559 mv:3788 misc:1221 imb:2 pmb:746 smb:452 d:- ref:0 ;
in:3 out:3 type:P dur:2 cpbdur:2 q:29.62 aq:26.58 tex:39630 mv:3396 misc:1254 imb:3 pmb:660 smb:537 d:- ref:0 ;
in:4 out:4 type:P dur:2 cpbdur:2 q:29.62 aq:26.79 tex:41142 mv:3744 misc:1234 imb:2 pmb:694 smb:504 d:- ref:0 ;
in:5 out:5 type:P dur:2 cpbdur:2 q:29.62 aq:26.68 tex:35601 mv:3818 misc:1221 imb:3 pmb:684 smb:513 d:- ref:0 ;
in:6 out:6 type:P dur:2 cpbdur:2 q:37.62 aq:36.97 tex:2607 mv:1220 misc:797 imb:0 pmb:226 smb:974 d:- ref:0 ;
in:7 out:7 type:P dur:2 cpbdur:2 q:43.83 aq:42.90 tex:720 mv:846 misc:698 imb:2 pmb:126 smb:1072 d:- ref:0 ;
in:8 out:8 type:P dur:2 cpbdur:2 q:42.25 aq:41.42 tex:2652 mv:2036 misc:992 imb:4 pmb:288 smb:908 d:- ref:0 ;
in:9 out:9 type:P dur:2 cpbdur:2 q:40.96 aq:39.79 tex:4428 mv:2215 misc:1021 imb:5 pmb:321 smb:874 d:- ref:0 ;
in:10 out:10 type:P dur:2 cpbdur:2 q:40.01 aq:38.73 tex:7261 mv:2344 misc:955 imb:6 pmb:354 smb:840 d:- ref:0 ;
in:11 out:11 type:P dur:2 cpbdur:2 q:39.19 aq:37.57 tex:9352 mv:2683 misc:1021 imb:11 pmb:393 smb:796 d:- ref:0 ;
in:12 out:12 type:P dur:2 cpbdur:2 q:38.06 aq:36.62 tex:11639 mv:3253 misc:1140 imb:12 pmb:465 smb:723 d:- ref:0 ;
in:13 out:13 type:P dur:2 cpbdur:2 q:37.06 aq:35.04 tex:13888 mv:3410 misc:1126 imb:14 pmb:508 smb:678 d:- ref:0 ;
in:14 out:14 type:P dur:2 cpbdur:2 q:36.32 aq:34.06 tex:18142 mv:3459 misc:1167 imb:13 pmb:545 smb:642 d:- ref:0 ;
in:15 out:15 type:P dur:2 cpbdur:2 q:35.71 aq:33.07 tex:18323 mv:3652 misc:1201 imb:13 pmb:576 smb:611 d:- ref:0 ;
in:16 out:16 type:P dur:2 cpbdur:2 q:35.24 aq:32.56 tex:17321 mv:3453 misc:1202 imb:6 pmb:575 smb:619 d:- ref:0 ;
in:17 out:17 type:P dur:2 cpbdur:2 q:34.86 aq:31.54 tex:21727 mv:3504 misc:1209 imb:13 pmb:610 smb:577 d:- ref:0 ;
in:18 out:18 type:P dur:2 cpbdur:2 q:34.55 aq:31.46 tex:22649 mv:3632 misc:1183 imb:10 pmb:622 smb:568 d:- ref:0 ;
in:19 out:19 type:P dur:2 cpbdur:2 q:34.29 aq:30.94 tex:22538 mv:3501 misc:1209 imb:10 pmb:607 smb:583 d:- ref:0 ;
in:20 out:20 type:P dur:2 cpbdur:2 q:34.11 aq:30.74 tex:24469 mv:3433 misc:1194 imb:7 pmb:625 smb:568 d:- ref:0 ;
in:21 out:21 type:P dur:2 cpbdur:2 q:33.92 aq:30.61 tex:24082 mv:3372 misc:1194 imb:5 pmb:618 smb:577 d:- ref:0 ;
in:22 out:22 type:P dur:2 cpbdur:2 q:33.71 aq:30.02 tex:24519 mv:3453 misc:1196 imb:3 pmb:641 smb:556 d:- ref:0 ;
in:23 out:23 type:P dur:2 cpbdur:2 q:33.57 aq:29.84 tex:25119 mv:3736 misc:1225 imb:12 pmb:660 smb:528 d:- ref:0 ;
in:24 out:24 type:P dur:2 cpbdur:2 q:33.44 aq:29.90 tex:25516 mv:3489 misc:1203 imb:7 pmb:623 smb:570 d:- ref:0 ;
in:25 out:25 type:P dur:2 cpbdur:2 q:33.31 aq:29.67 tex:22075 mv:3210 misc:1187 imb:3 pmb:588 smb:609 d:- ref:0 ;
in:26 out:26 type:P dur:2 cpbdur:2 q:33.21 aq:29.58 tex:25668 mv:3463 misc:1197 imb:6 pmb:623 smb:571 d:- ref:0 ;
in:27 out:27 type:P dur:2 cpbdur:2 q:33.09 aq:29.09 tex:27016 mv:3706 misc:1214 imb:7 pmb:654 smb:539 d:- ref:0 ;
in:28 out:28 type:P dur:2 cpbdur:2 q:32.99 aq:29.36 tex:20427 mv:2830 misc:1135 imb:4 pmb:516 smb:680 d:- ref:0 ;
in:29 out:29 type:P dur:2 cpbdur:2 q:32.89 aq:29.02 tex:28569 mv:3522 misc:1197 imb:8 pmb:628 smb:564 d:- ref:0 ;
in:30 out:30 type:P dur:2 cpbdur:2 q:32.80 aq:28.61 tex:28090 mv:3538 misc:1204 imb:2 pmb:636 smb:562 d:- ref:0 ;
in:31 out:31 type:P dur:2 cpbdur:2 q:32.66 aq:28.91 tex:23208 mv:3064 misc:1160 imb:5 pmb:572 smb:623 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:32.57 aq:28.54 tex:29575 mv:3395 misc:1206 imb:5 pmb:643 smb:552 d:- ref:0 ;
in:33 out:33 type:P dur:2 cpbdur:2 q:32.50 aq:28.44 tex:28612 mv:3728 misc:1204 imb:10 pmb:672 smb:518 d:- ref:0 ;
in:34 out:34 type:P dur:2 cpbdur:2 q:32.34 aq:27.97 tex:25983 mv:3055 misc:1202 imb:4 pmb:579 smb:617 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:32.28 aq:27.53 tex:31084 mv:3559 misc:1189 imb:10 pmb:661 smb:529 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:32.22 aq:27.81 tex:30469 mv:3405 misc:1214 imb:8 pmb:643 smb:549 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:32.10 aq:27.62 tex:23346 mv:2873 misc:1157 imb:7 pmb:549 smb:644 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:32.06 aq:27.22 tex:30355 mv:3074 misc:1203 imb:1 pmb:602 smb:597 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:32.00 aq:27.44 tex:31132 mv:3571 misc:1201 imb:7 pmb:649 smb:544 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:31.92 aq:27.02 tex:26271 mv:3101 misc:1148 imb:11 pmb:575 smb:614 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:31.89 aq:27.11 tex:30158 mv:3293 misc:1213 imb:7 pmb:615 smb:578 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:31.85 aq:27.06 tex:34253 mv:3271 misc:1188 imb:26 pmb:575 smb:599 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:31.74 aq:27.68 tex:40974 mv:2733 misc:1101 imb:52 pmb:441 smb:707 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:31.70 aq:26.69 tex:35307 mv:3044 misc:1113 imb:61 pmb:458 smb:681 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:31.67 aq:26.46 tex:35072 mv:3149 misc:1195 imb:12 pmb:595 smb:593 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:31.59 aq:26.42 tex:26649 mv:2384 misc:1103 imb:18 pmb:436 smb:746 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:31.55 aq:26.35 tex:37026 mv:3503 misc:1247 imb:19 pmb:641 smb:540 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:31.54 aq:26.70 tex:38325 mv:3345 misc:1178 imb:21 pmb:585 smb:594 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:31.58 aq:26.51 tex:34654 mv:2721 misc:1137 imb:13 pmb:501 smb:686 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:31.58 aq:26.61 tex:33470 mv:2481 misc:1137 imb:5 pmb:495 smb:700 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:31.57 aq:26.65 tex:33571 mv:2871 misc:1190 imb:11 pmb:555 smb:634 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:31.50 aq:26.64 tex:30531 mv:2454 misc:1135 imb:15 pmb:454 smb:731 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:31.51 aq:27.12 tex:36942 mv:3171 misc:1191 imb:14 pmb:559 smb:627 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:31.53 aq:26.99 tex:40096 mv:2656 misc:1072 imb:20 pmb:462 smb:718 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:31.51 aq:27.86 tex:29273 mv:2087 misc:968 imb:7 pmb:391 smb:802 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:31.49 aq:27.51 tex:28297 mv:2249 misc:1078 imb:10 pmb:435 smb:755 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:31.47 aq:27.08 tex:26513 mv:2297 misc:1086 imb:9 pmb:423 smb:768 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:31.43 aq:27.59 tex:21870 mv:2058 misc:1048 imb:9 pmb:398 smb:793 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:31.44 aq:27.04 tex:26581 mv:2533 misc:1070 imb:10 pmb:457 smb:733 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:31.46 aq:27.72 tex:23583 mv:2153 misc:952 imb:6 pmb:403 smb:791 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:31.41 aq:28.18 tex:20958 mv:1801 misc:889 imb:11 pmb:349 smb:840 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:31.36 aq:28.19 tex:24831 mv:2097 misc:944 imb:5 pmb:393 smb:802 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:31.29 aq:28.14 tex:25799 mv:2132 misc:917 imb:12 pmb:378 smb:810 d:- ref:0 ;
in:64 out:64 type:P dur:2 cpbdur:2 q:31.20 aq:27.60 tex:22616 mv:2046 misc:962 imb:12 pmb:378 smb:810 d:- ref:0 ;
in:65 out:65 type:P dur:2 cpbdur:2 q:31.14 aq:27.36 tex:26630 mv:2061 misc:949 imb:8 pmb:379 smb:813 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:31.06 aq:27.92 tex:23691 mv:1833 misc:900 imb:3 pmb:353 smb:844 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:30.96 aq:26.83 tex:40649 mv:2415 misc:1136 imb:8 pmb:535 smb:657 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:30.89 aq:27.09 tex:29158 mv:2091 misc:1031 imb:6 pmb:421 smb:773 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:30.83 aq:27.06 tex:30229 mv:2159 misc:1020 imb:9 pmb:427 smb:764 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:30.75 aq:27.00 tex:22853 mv:2057 misc:1026 imb:11 pmb:403 smb:786 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:30.69 aq:27.15 tex:28840 mv:2046 misc:1058 imb:9 pmb:418 smb:773 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:30.61 aq:27.79 tex:26161 mv:1944 misc:967 imb:5 pmb:394 smb:801 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:30.64 aq:27.92 tex:21478 mv:1515 misc:879 imb:4 pmb:327 smb:869 d:- ref:0 ;
