#options: 960x540 fps=2997/100 cabac=0 ref=5 deblock=1:0:0 analyse=0x1:0x131 me=hex subme=7 psy_rd=1.0:0.0 mixed_ref=1 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 chroma_qp_offset=-2 threads=12 nr=0 decimate=1 mbaff=0 bframes=0 keyint=90 keyint_min=25 scenecut=40(pre) rc=abr bitrate=1200 ratetol=3.3 qcomp=0.50 qpmin=10 qpmax=51 qpstep=4 ip_ratio=1.41 aq=1:1.00
in:0 out:0 type:I q:12.58 tex:4118 mv:8280 misc:82 imb:2040 pmb:0 smb:0 d:-;
in:1 out:1 type:P q:16.58 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:2 out:2 type:P q:20.58 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:3 out:3 type:P q:24.58 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:4 out:4 type:P q:26.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:5 out:5 type:P q:26.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:6 out:6 type:P q:26.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:7 out:7 type:P q:26.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:8 out:8 type:P q:26.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:9 out:9 type:P q:26.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:10 out:10 type:P q:26.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:11 out:11 type:P q:26.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:12 out:12 type:P q:22.00 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:13 out:13 type:P q:18.00 tex:0 mv:0 misc:112 imb:0 pmb:0 smb:2040 d:-;
in:14 out:14 type:P q:20.47 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:15 out:15 type:P q:24.42 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:16 out:16 type:P q:25.80 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:17 out:17 type:P q:25.75 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
in:18 out:18 type:P q:25.71 tex:0 mv:0 misc:104 imb:0 pmb:0 smb:2040 d:-;
